freq,unit,sector,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,INTLORG,ED01,LV	: z	: z	: z	: z	: z	: z	: z	: 	0.0 
A,MIO_EUR,INTLORG,ED01,MT	: z	: dz	: z	: dz	: dz	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,NL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED01,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,PT	: z	: z	: z	: z	: 	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,RO	: 	: 	0.0 	0.0 	0.3 	0.3 	0.9 	1.0 	1.4 
A,MIO_EUR,INTLORG,ED01,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,SE	: 	0.0 	0.0 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,SI	0.0 	0.0 	0.0 	0.1 	0.1 	0.2 	0.5 	0.3 	0.5 
A,MIO_EUR,INTLORG,ED01,SK	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED01,TR	: d	: 	: 	: 	: 	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED01,UK	: 	: z	: 	: z	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,INTLORG,ED02,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,BE	0.3 	1.5 	2.0 	1.0 	11.9 	11.9 	12.1 	12.2 	16.7 
A,MIO_EUR,INTLORG,ED02,BG	0.8 	1.1 	1.1 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,CH	: z	: z	: z	: z	: z	0.0 	0.0 	: 	0.0 
A,MIO_EUR,INTLORG,ED02,CY	0.0 	0.0 	0.0 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,DK	: z	: dz	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,EE	: d	7.6 d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,INTLORG,ED02,EL	: 	: 	: 	31.5 	31.8 	12.8 	16.5 	13.4 	: 
A,MIO_EUR,INTLORG,ED02,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,EU27_2020	: 	: 	: 	: 	: 	151.9 d	248.6 d	166.3 d	178.5 d
A,MIO_EUR,INTLORG,ED02,EU28	: 	: 	: 	: 	: 	151.9 d	248.6 d	166.3 d	: 
A,MIO_EUR,INTLORG,ED02,FI	0.0 	0.0 	0.0 	: d	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,FR	0.2 	0.2 	0.2 	1.1 	0.8 	0.8 	0.8 	0.9 	1.2 
A,MIO_EUR,INTLORG,ED02,HR	: 	: 	: 	: z	0.2 d	0.5 	1.6 	10.3 d	: d
A,MIO_EUR,INTLORG,ED02,HU	0.0 	0.0 	: d	0.0 e	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,IE	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,IS	: z	: z	: z	: z	: z	: z	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,IT	96.9 	97.7 	97.7 	97.7 	0.0 	0.0 	27.9 	2.0 	17.6 
A,MIO_EUR,INTLORG,ED02,LT	4.8 d	: d	2.4 	2.2 	2.9 	1.0 	5.9 	6.1 	6.6 
A,MIO_EUR,INTLORG,ED02,LU	6.4 	7.5 	6.3 	6.3 	7.3 	7.3 	7.3 	6.9 	5.6 
A,MIO_EUR,INTLORG,ED02,LV	7.1 	4.0 	11.7 	3.3 	2.0 	0.1 	0.6 	0.1 	0.1 
A,MIO_EUR,INTLORG,ED02,MT	0.0 	0.0 	0.1 	0.1 	0.1 	1.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,NL	4.7 	3.7 	3.7 	5.0 	4.5 	4.1 	4.4 	3.8 	4.2 
A,MIO_EUR,INTLORG,ED02,NO	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED02,PL	39.3 	37.9 	69.6 	30.1 	14.0 d	98.7 	140.8 	65.7 	62.7 
A,MIO_EUR,INTLORG,ED02,PT	0.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.2 	0.0 
A,MIO_EUR,INTLORG,ED02,RO	4.6 	0.2 	0.9 	1.6 	0.8 	2.5 	8.5 	13.7 	26.0 
A,MIO_EUR,INTLORG,ED02,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED02,SE	: 	0.0 	0.0 	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02,SI	0.0 	0.1 	0.1 	0.1 	0.1 	0.3 	0.8 	0.6 	0.8 
A,MIO_EUR,INTLORG,ED02,SK	: 	8.6 	14.1 	8.0 	2.5 	10.7 	21.3 	30.6 	37.0 
A,MIO_EUR,INTLORG,ED02,TR	: d	: 	: 	: 	0.3 	4.0 	4.1 	3.9 	4.0 
A,MIO_EUR,INTLORG,ED02,UK	0.0 	: z	: 	: z	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,INTLORG,ED02-8,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED02-8,BE	199.4 	191.7 	200.0 	198.8 	339.4 	371.4 	394.5 	435.8 	461.0 
A,MIO_EUR,INTLORG,ED02-8,BG	61.9 	61.6 	67.0 	37.9 	59.8 	63.4 	58.3 	73.9 	65.4 
A,MIO_EUR,INTLORG,ED02-8,CH	: 	0.0 	: z	: z	182.4 	188.4 	177.3 	: 	218.6 
A,MIO_EUR,INTLORG,ED02-8,CY	9.0 	11.9 	11.8 	13.5 	: 	16.8 	23.7 	24.7 	26.3 
A,MIO_EUR,INTLORG,ED02-8,CZ	330.0 	334.9 	312.3 	286.5 	65.1 	72.7 	158.8 	194.0 	166.7 
A,MIO_EUR,INTLORG,ED02-8,DE	668.0 	771.5 	686.3 	741.7 	607.6 	721.0 	747.3 	865.4 d	900.6 d
A,MIO_EUR,INTLORG,ED02-8,DK	: 	172.1 	: 	: 	244.7 	277.7 	289.4 	280.3 	311.6 
A,MIO_EUR,INTLORG,ED02-8,EE	: d	199.9 d	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,INTLORG,ED02-8,EL	: 	: 	: 	728.6 	292.3 	237.3 	299.7 	374.2 	: 
A,MIO_EUR,INTLORG,ED02-8,ES	200.2 	197.1 	184.9 	249.6 	215.3 	223.7 	244.1 	279.6 	280.7 
A,MIO_EUR,INTLORG,ED02-8,EU27_2020	: 	: 	: 	: 	: 	6096.8 d	7224.3 d	7235.1 d	6958.3 d
A,MIO_EUR,INTLORG,ED02-8,EU28	: 	: 	: 	: 	: 	7674.7 d	9244.1 d	9131.8 d	: 
A,MIO_EUR,INTLORG,ED02-8,FI	0.0 	0.0 	0.0 	: d	153.2 	168.1 	189.8 	199.6 	206.9 
A,MIO_EUR,INTLORG,ED02-8,FR	525.5 	587.7 d	613.4 	633.5 	570.8 	642.1 	671.4 	844.7 	776.5 
A,MIO_EUR,INTLORG,ED02-8,HR	: 	: 	: 	: 	27.2 d	: d	: d	111.4 	114.0 
A,MIO_EUR,INTLORG,ED02-8,HU	0.0 	34.9 	: d	0.0 e	22.8 	26.6 	26.5 	27.6 	22.9 
A,MIO_EUR,INTLORG,ED02-8,IE	68.3 	: d	77.5 	131.8 d	122.2 	138.5 	241.5 	167.7 	127.3 
A,MIO_EUR,INTLORG,ED02-8,IS	10.6 	7.3 d	4.0 	4.8 	8.1 	5.9 	8.7 	10.4 	7.5 
A,MIO_EUR,INTLORG,ED02-8,IT	: 	1774.5 	1676.1 	1713.5 	660.3 	880.6 	771.5 	420.7 	588.5 
A,MIO_EUR,INTLORG,ED02-8,LI	: 	: d	: d	: d	: d	: 	: 	: 	: 
A,MIO_EUR,INTLORG,ED02-8,LT	201.1 d	: d	203.6 	156.6 	55.9 	65.5 	132.3 	167.1 	187.8 
A,MIO_EUR,INTLORG,ED02-8,LU	47.9 	: 	50.4 	54.6 	58.9 	68.0 	63.9 	65.9 	67.4 
A,MIO_EUR,INTLORG,ED02-8,LV	125.7 	97.1 	137.2 	124.4 	39.1 	55.6 	109.9 	121.6 	116.1 
A,MIO_EUR,INTLORG,ED02-8,MT	0.3 	3.7 	0.8 	0.8 	2.6 	9.5 	7.5 	4.6 	4.0 
A,MIO_EUR,INTLORG,ED02-8,NL	360.6 	354.3 	382.1 	439.8 	425.1 	471.7 	497.7 	479.4 	506.0 
A,MIO_EUR,INTLORG,ED02-8,NO	: d	: d	0.0 	0.0 	60.4 	79.7 	87.0 	97.5 	90.6 
A,MIO_EUR,INTLORG,ED02-8,PL	716.1 	636.7 	691.8 d	574.0 	393.7 d	798.2 	1211.4 	1069.2 	915.9 
A,MIO_EUR,INTLORG,ED02-8,PT	782.1 d	: 	922.9 d	442.9 d	342.6 	202.0 	436.8 	288.5 	269.8 
A,MIO_EUR,INTLORG,ED02-8,RO	195.0 	172.4 	157.4 	408.4 	49.0 	65.4 	86.3 	154.8 	183.7 
A,MIO_EUR,INTLORG,ED02-8,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,INTLORG,ED02-8,SE	: 	308.4 	316.1 	289.4 	311.5 	330.3 	336.5 	342.7 	339.4 
A,MIO_EUR,INTLORG,ED02-8,SI	44.3 	72.0 	57.4 	42.9 	28.1 	46.3 	63.4 	74.9 	85.3 
A,MIO_EUR,INTLORG,ED02-8,SK	: 	: 	313.5 	594.0 	77.1 	109.0 	143.4 	184.7 	234.4 
A,MIO_EUR,INTLORG,ED02-8,TR	: d	: 	: 	: 	148.8 	168.0 	164.8 	181.7 	197.2 
A,MIO_EUR,INTLORG,ED02-8,UK	: 	1394.3 	: 	1790.2 b	1688.1 	1744.6 	2019.8 	1896.7 	: 
A,MIO_EUR,INTLORG,ED1,AT	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1,BE	0.5 	1.6 	3.3 	1.7 	57.2 	58.1 	53.5 	49.2 	70.9 
A,MIO_EUR,INTLORG,ED1,BG	12.5 	11.9 	12.2 	8.4 	15.9 	17.0 	15.7 	17.2 	17.0 
A,MIO_EUR,INTLORG,ED1,CH	: z	: z	: z	: z	: z	0.0 	0.0 	: 	0.0 
A,MIO_EUR,INTLORG,ED1,CY	0.0 	0.0 	0.0 	0.0 	: z	: z	: z	: z	: z
A,MIO_EUR,INTLORG,ED1,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,DE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,DK	: z	: z	: z	: 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,EE	: 	29.4 	29.6 	30.0 	16.7 	20.5 	47.6 	23.1 	29.0 
A,MIO_EUR,INTLORG,ED1,EL	76.0 	89.1 	114.5 	68.9 	44.5 	39.1 	51.8 	40.0 	: 
A,MIO_EUR,INTLORG,ED1,ES	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,INTLORG,ED1,EU27_2020	: 	: 	: 	: 	: 	526.4 	797.7 	558.1 	511.0 d
A,MIO_EUR,INTLORG,ED1,EU28	: 	: 	: 	: 	: 	526.4 	797.7 	558.1 	: 
A,MIO_EUR,INTLORG,ED1,FI	0.0 	0.0 	0.0 	: d	0.3 	0.2 	0.2 	0.4 	0.2 
A,MIO_EUR,INTLORG,ED1,FR	0.3 	0.3 	0.3 	1.8 	1.4 	1.3 	1.2 	1.6 	2.2 
A,MIO_EUR,INTLORG,ED1,HR	: 	: 	: 	: z	0.3 d	5.8 	13.8 	17.6 d	16.3 d
