freq,unit,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC_GDP,ED01,PL	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,PT	: z	: z	: z	: z	: 	: 	: 	: 	: 
A,PC_GDP,ED01,RO	: 	: 	0.02 	0.02 	0.03 	0.03 	0.03 	0.03 	0.04 
A,PC_GDP,ED01,RS	: 	: 	: 	0.00 	: 	: z	: 	: 	: 
A,PC_GDP,ED01,SE	0.56 	0.54 	0.54 	0.54 	0.54 	0.51 	0.51 	0.58 	0.58 
A,PC_GDP,ED01,SI	0.32 	0.36 	0.34 	0.30 	0.29 	0.29 	0.29 	0.29 	0.33 
A,PC_GDP,ED01,SK	: 	: z	: z	: z	: z	: z	: z	: z	: z
A,PC_GDP,ED01,TR	: d	: 	: 	: 	: 	: 	: 	: 	: 
A,PC_GDP,ED01,UK	0.04 	0.03 	0.03 	0.03 b	0.03 	0.03 	0.03 	0.03 	: 
A,PC_GDP,ED02,AT	0.47 	0.47 	0.48 	0.49 	0.50 	0.51 	0.49 	0.36 	0.55 
A,PC_GDP,ED02,BE	0.68 	0.71 	0.70 	0.70 	0.70 	0.68 	0.69 	0.68 	0.72 p
A,PC_GDP,ED02,BG	0.89 	1.03 	1.05 	0.97 	0.95 	0.94 	0.92 	0.93 	0.97 
A,PC_GDP,ED02,CH	0.18 	0.18 	0.24 	0.41 	0.41 	0.41 	0.40 	: 	0.45 
A,PC_GDP,ED02,CY	0.34 	0.35 	0.35 	0.35 	0.33 	0.32 	0.30 	0.28 	0.30 
A,PC_GDP,ED02,CZ	0.54 	0.54 	0.55 	0.52 	0.49 	0.53 	0.55 	0.58 	0.62 
A,PC_GDP,ED02,DE	0.43 	0.44 	0.44 	0.46 	0.47 	0.49 	0.51 	0.55 p	0.64 p
A,PC_GDP,ED02,DK	1.25 	: d	: 	: 	0.44 	0.44 	0.43 	0.45 	0.47 
A,PC_GDP,ED02,EE	0.43 d	0.35 d	: d	: d	: d	: d	: d	: d	: d
A,PC_GDP,ED02,EL	0.24 	0.25 	0.27 	0.26 	0.27 	0.25 p	0.26 	0.27 p	: 
A,PC_GDP,ED02,ES	0.50 	0.48 	0.48 	0.47 	0.46 	0.44 	0.44 	0.43 p	0.50 p
A,PC_GDP,ED02,EU27_2020	0.54 d	0.54 d	0.54 d	0.54 d	: 	0.55 d	0.54 d	0.55 d	0.59 d
A,PC_GDP,ED02,EU28	: 	: 	: 	: 	: 	0.49 d	0.49 d	0.50 d	: 
A,PC_GDP,ED02,FI	0.78 d	0.77 	0.77 	0.77 	0.76 	0.71 	0.74 	0.77 	0.78 
A,PC_GDP,ED02,FR	0.65 	0.70 	0.70 	0.70 	0.69 	0.70 	0.69 	0.67 p	0.70 
A,PC_GDP,ED02,HR	: 	: 	: 	: 	0.52 d	0.54 	0.54 	0.56 d	: d
A,PC_GDP,ED02,HU	0.65 	0.65 	: d	0.78 e	0.77 	0.70 	0.67 	0.67 	0.65 
A,PC_GDP,ED02,IE	0.11 	0.11 	0.10 	0.07 	: d	: d	: d	: d	: d
A,PC_GDP,ED02,IS	0.93 	0.90 	0.93 	0.90 	0.85 	0.89 	0.92 	0.90 	1.03 
A,PC_GDP,ED02,IT	0.45 	0.45 	0.46 	0.48 	0.44 	0.47 	0.48 	0.49 	0.48 
A,PC_GDP,ED02,LT	0.63 d	: d	0.50 	0.56 	0.63 	0.62 	0.69 	0.70 	0.83 
A,PC_GDP,ED02,LU	0.65 	0.53 	0.57 	0.57 	0.47 	0.48 	0.48 	0.52 	0.53 
A,PC_GDP,ED02,LV	1.13 	0.82 	0.86 	0.81 	0.80 	0.82 	0.76 	0.81 	0.90 
A,PC_GDP,ED02,MT	0.41 	0.43 	0.40 	0.37 	0.37 	0.34 	0.35 	0.37 	0.42 
A,PC_GDP,ED02,NL	0.41 	0.38 	0.37 	0.36 	0.35 	0.34 	0.35 	0.35 	0.38 
A,PC_GDP,ED02,NO	0.73 	0.73 	0.69 	0.72 	0.74 	0.72 	0.69 	0.72 	0.77 
A,PC_GDP,ED02,PL	0.56 	0.59 	0.61 	0.61 	0.64 	0.67 	0.70 	0.73 	0.77 
A,PC_GDP,ED02,PT	0.39 	0.42 	0.42 	0.39 	0.38 	0.40 	0.36 	0.35 	0.38 
A,PC_GDP,ED02,RO	0.29 	0.30 	0.34 	0.33 	0.31 	0.31 	0.33 	0.37 	0.38 
A,PC_GDP,ED02,RS	: 	: 	: 	0.00 	: 	: z	: 	: 	: 
A,PC_GDP,ED02,SE	1.29 	1.29 	1.30 	1.29 	1.29 	1.21 	1.21 	1.12 	1.15 
A,PC_GDP,ED02,SI	0.68 	0.61 	0.65 	0.56 	0.52 	0.52 	0.51 	0.51 	0.57 
A,PC_GDP,ED02,SK	: 	0.44 	0.49 	0.49 	0.50 	0.53 	0.55 	0.63 	0.66 
A,PC_GDP,ED02,TR	: d	: 	: 	: 	0.25 	0.24 	0.27 	0.31 	0.24 
A,PC_GDP,ED02,UK	0.33 	0.31 	0.20 	0.26 b	0.20 	0.22 	0.22 	0.22 	: 
A,PC_GDP,ED02-8,AT	5.62 	5.49 	5.40 	5.43 	5.38 	5.25 	5.11 	4.71 	5.43 
A,PC_GDP,ED02-8,BE	6.43 	6.56 	6.49 	6.43 	6.33 	6.30 	6.29 	6.25 	6.71 p
A,PC_GDP,ED02-8,BG	3.68 	4.06 	4.22 	3.93 	3.86 	4.09 	4.05 	4.20 	4.50 
A,PC_GDP,ED02-8,CH	: 	: 	5.01 	5.08 	5.03 	5.05 	4.77 	: 	5.19 
A,PC_GDP,ED02-8,CY	6.06 	6.14 	6.12 	6.17 	6.02 	5.77 	5.49 	5.24 	5.67 
A,PC_GDP,ED02-8,CZ	4.33 	3.95 	3.84 	3.79 	3.56 	3.77 	4.23 	4.50 	4.67 
A,PC_GDP,ED02-8,DE	4.64 	4.61 	4.57 	4.52 	4.50 	4.51 	4.59 	4.70 dp	5.12 dp
A,PC_GDP,ED02-8,DK	: 	: d	: 	: 	6.96 	6.60 	6.49 	6.36 	6.86 
A,PC_GDP,ED02-8,EE	4.70 d	4.85 d	: d	: d	: d	: d	: d	: d	: d
A,PC_GDP,ED02-8,EL	3.64 d	3.58 d	3.62 d	3.68 d	: 	3.41 p	3.60 	3.59 p	: 
A,PC_GDP,ED02-8,ES	4.34 	4.18 	4.15 	4.16 	4.10 	4.07 	4.03 	4.08 p	4.72 p
A,PC_GDP,ED02-8,EU27_2020	: d	: d	4.96 d	4.81 d	: 	4.67 d	4.70 d	4.70 d	5.02 d
A,PC_GDP,ED02-8,EU28	: 	: 	: 	: 	: 	4.73 d	4.75 d	4.76 d	: 
A,PC_GDP,ED02-8,FI	: 	: 	6.81 	6.75 	6.55 	6.06 	5.93 	6.06 	6.27 
A,PC_GDP,ED02-8,FR	5.46 	5.51 d	5.52 	5.47 	5.42 	5.45 	5.41 	5.35 p	5.66 
A,PC_GDP,ED02-8,HR	: 	: 	: 	: 	3.84 d	: d	: d	3.92 	3.80 
A,PC_GDP,ED02-8,HU	4.07 	3.98 	: d	4.26 e	4.46 	4.18 	4.07 	3.90 	3.83 
A,PC_GDP,ED02-8,IE	6.16 	5.32 	4.92 	3.77 	: d	: d	: d	: d	: d
A,PC_GDP,ED02-8,IS	7.24 	6.84 d	6.98 	6.84 	6.51 	6.60 	6.61 	6.54 	7.33 
A,PC_GDP,ED02-8,IT	4.08 	4.16 	4.08 	4.10 	3.82 	4.04 	4.26 	4.10 	4.44 
A,PC_GDP,ED02-8,LI	: 	: d	: d	: d	: d	: 	: 	: 	: 
A,PC_GDP,ED02-8,LT	4.83 d	: d	4.37 	4.12 	3.88 	3.67 	3.73 	3.80 	4.32 
A,PC_GDP,ED02-8,LU	4.39 	: 	4.00 	3.90 	3.59 	3.57 	3.46 	3.72 	3.84 
A,PC_GDP,ED02-8,LV	6.59 	4.91 	5.28 	5.33 	4.72 	4.40 	4.25 	4.43 	4.63 
