freq,unit,expend,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,PC,CUR,LU	87.5 	87.5 	88.2 	90.2 	93.1 	91.1 	89.9 	88.8 	90.4 
A,PC,CUR,LV	87.6 d	87.4 	82.1 	84.4 	90.7 	88.6 	84.5 	84.9 	84.9 
A,PC,CUR,MT	87.2 	87.9 	87.9 	85.8 	84.5 	89.7 	87.2 	86.3 	84.7 
A,PC,CUR,NL	87.7 	87.8 	87.9 	88.6 	89.2 	89.1 	89.4 	89.2 	88.9 
A,PC,CUR,NO	: d	88.9 	88.9 	87.6 	87.2 	86.6 	86.7 	87.1 	86.7 
A,PC,CUR,PL	92.3 	: d	92.7 d	92.6 	94.8 	93.5 	91.4 	93.0 	93.4 
A,PC,CUR,PT	: d	96.4 	97.1 d	95.3 d	97.5 	96.5 	96.2 	96.8 	96.9 
A,PC,CUR,RO	93.0 	94.6 	95.7 	95.7 	95.2 	96.0 	95.3 	95.0 	94.9 
A,PC,CUR,RS	: 	: d	: 	: 	: 	94.8 	: 	: 	: 
A,PC,CUR,SE	94.3 	94.9 	94.8 	94.9 	95.1 	95.8 	95.7 	95.4 	95.3 
A,PC,CUR,SI	92.4 	88.0 	87.7 	91.8 	86.7 	93.1 	91.6 	93.0 	92.2 
A,PC,CUR,SK	: 	93.2 	93.4 	85.4 	94.8 	94.5 	94.0 	93.8 	94.2 
A,PC,CUR,TR	: d	: 	: 	: 	85.8 	87.4 	85.9 	91.0 	91.6 
A,PC,CUR,UK	97.3 	97.3 	97.4 	97.5 b	97.7 	97.5 	97.7 	97.8 	: 
A,PC,CUR_COMP,AT	71.2 	71.2 	72.5 	72.2 	72.0 	72.4 	72.7 	72.8 	73.6 
A,PC,CUR_COMP,BE	86.9 	85.9 	85.6 	85.9 	85.7 	87.0 	86.2 	87.5 	86.4 
A,PC,CUR_COMP,BG	75.9 	77.4 	77.3 	79.5 	79.2 	76.0 	78.0 	78.3 	79.0 
A,PC,CUR_COMP,CH	: 	82.5 	82.7 	82.9 	83.0 d	: 	: 	: 	: 
A,PC,CUR_COMP,CY	88.8 	86.9 	87.4 	86.5 	86.5 	86.9 	84.8 	85.9 	85.8 
A,PC,CUR_COMP,CZ	54.9 	58.5 	59.8 	59.2 	63.9 	63.0 	62.6 	62.8 	67.1 
A,PC,CUR_COMP,DE	78.4 d	77.9 	77.9 	77.9 	78.0 	78.3 	77.9 	78.0 d	78.8 d
A,PC,CUR_COMP,DK	: 	: 	: 	: 	77.3 	77.0 	77.3 	77.2 	77.8 
A,PC,CUR_COMP,EE	: 	66.6 d	: d	: d	: d	: d	: d	: d	: d
A,PC,CUR_COMP,EL	95.0 	92.2 	92.1 	93.3 	92.9 	92.9 	92.4 	92.5 	: 
A,PC,CUR_COMP,ES	79.9 d	79.5 	80.8 	81.1 	81.0 	80.8 	80.4 	80.9 	82.1 
A,PC,CUR_COMP,EU27_2020	: 	: 	: 	: 	: 	73.6 d	73.7 d	73.1 d	75.8 d
A,PC,CUR_COMP,EU28	: 	: 	: 	: 	: 	73.7 d	73.7 d	73.2 d	: 
A,PC,CUR_COMP,FI	63.9 	63.7 	63.5 	62.4 	61.4 	60.9 	60.0 	60.3 	61.7 
A,PC,CUR_COMP,FR	82.1 	80.4 	81.5 	81.4 	81.5 	81.7 	82.0 	81.8 	82.8 
A,PC,CUR_COMP,HR	: d	75.1 	75.7 	: 	76.5 d	: d	: d	77.3 	81.3 
A,PC,CUR_COMP,HU	69.2 	67.0 	: d	73.5 e	76.2 	73.9 	74.1 	73.4 	77.2 
A,PC,CUR_COMP,IE	80.0 	78.1 	77.7 	: d	: d	: d	: d	: d	: d
A,PC,CUR_COMP,IS	72.4 	70.8 d	71.5 	73.3 	73.2 	73.1 	74.3 	72.4 d	74.6 d
A,PC,CUR_COMP,IT	77.3 	76.7 	76.1 	80.1 	77.2 	73.4 	73.2 	74.5 	76.2 
A,PC,CUR_COMP,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,PC,CUR_COMP,LT	77.0 d	: d	76.1 	77.2 	77.5 	77.2 	77.1 	78.2 	77.6 
A,PC,CUR_COMP,LU	81.5 	84.7 	84.2 	84.4 	82.8 	80.9 	81.2 	80.6 	81.7 
A,PC,CUR_COMP,LV	72.6 d	71.3 	70.7 	71.8 	72.1 	76.2 	76.7 	75.8 	78.3 
A,PC,CUR_COMP,MT	81.0 	82.5 	82.4 	81.9 	85.9 	85.9 	85.5 	85.0 	85.4 
A,PC,CUR_COMP,NL	78.0 d	79.1 d	76.9 d	76.6 	76.9 	77.3 	77.6 	77.8 	79.6 
A,PC,CUR_COMP,NO	: d	77.9 	78.4 	78.8 	79.0 	77.7 	78.8 	79.4 	80.4 
A,PC,CUR_COMP,PL	68.0 	: d	74.4 d	74.5 	74.5 	73.7 	75.3 	75.3 	75.7 
A,PC,CUR_COMP,PT	: 	80.1 	87.7 d	87.8 d	85.1 	85.9 	86.0 	85.2 	85.6 
A,PC,CUR_COMP,RO	65.1 	69.5 	75.0 	69.3 	76.1 	76.4 	77.4 	77.6 	78.7 
A,PC,CUR_COMP,RS	: 	: d	: 	: 	: 	78.4 	: 	: 	: 
A,PC,CUR_COMP,SE	68.5 	67.9 	68.3 	68.3 	68.3 	68.5 	68.4 	68.4 	69.2 
A,PC,CUR_COMP,SI	76.3 	76.3 	76.4 	76.0 	76.2 	77.0 	78.1 	77.5 	81.9 
A,PC,CUR_COMP,SK	: 	62.4 	63.1 	62.2 	67.8 	70.7 	69.7 	70.0 	70.5 
A,PC,CUR_COMP,TR	: d	: 	: 	: 	80.4 	81.0 	81.5 	79.3 	80.9 
A,PC,CUR_COMP,UK	77.1 	76.2 	75.9 	76.0 b	78.7 	78.9 	78.9 	79.6 	: 
A,PC,CUR_OTH,AT	28.8 	28.8 	27.5 	27.8 	28.0 	27.6 	27.3 	27.2 	26.4 
A,PC,CUR_OTH,BE	13.1 	14.1 	14.4 	14.1 	14.3 	13.0 	13.8 	12.5 	13.6 
A,PC,CUR_OTH,BG	24.1 	22.6 	22.7 	20.5 	20.8 	24.0 	22.0 	21.7 	21.0 
A,PC,CUR_OTH,CH	: 	17.5 	17.3 	17.1 	17.0 d	: 	: 	: 	: 
A,PC,CUR_OTH,CY	11.2 	13.1 	12.6 	13.5 	13.5 	13.1 	15.2 	14.1 	14.2 
A,PC,CUR_OTH,CZ	45.1 	41.5 	40.2 	40.8 	36.1 	37.0 	37.4 	37.2 	32.9 
A,PC,CUR_OTH,DE	21.6 	22.1 	22.1 	22.1 	22.0 	21.7 	22.1 	22.0 d	21.2 d
A,PC,CUR_OTH,DK	24.2 	: 	: 	: 	22.7 	23.0 	22.7 	22.8 	22.2 
A,PC,CUR_OTH,EE	: 	33.4 d	: d	: d	: d	: d	: d	: d	: d
A,PC,CUR_OTH,EL	5.0 	7.8 	7.9 	6.7 	7.1 	7.1 	7.6 	7.5 	: 
A,PC,CUR_OTH,ES	20.1 	20.5 	19.2 	18.9 	19.0 	19.2 	19.6 	19.1 	17.9 
A,PC,CUR_OTH,EU27_2020	: 	: 	: 	: 	: 	26.4 d	26.3 d	26.9 d	24.2 d
A,PC,CUR_OTH,EU28	: 	: 	: 	: 	: 	26.3 d	26.3 d	26.8 d	: 
A,PC,CUR_OTH,FI	36.1 	36.3 	36.5 	37.6 	38.6 	39.1 	40.0 	39.7 	38.3 
A,PC,CUR_OTH,FR	17.9 	19.6 	18.5 	18.6 	18.5 	18.3 	18.0 	18.2 	17.2 
A,PC,CUR_OTH,HR	: d	24.9 	24.3 	: 	23.5 d	: d	: d	22.7 	18.7 
A,PC,CUR_OTH,HU	30.8 	33.0 	: d	26.5 e	23.8 	26.1 	25.9 	26.6 	22.8 
A,PC,CUR_OTH,IE	20.0 	21.9 	22.3 	: d	: d	: d	: d	: d	: d
A,PC,CUR_OTH,IS	27.6 	29.2 d	28.5 	26.7 	26.8 	26.9 	25.7 	27.6 d	25.4 d
A,PC,CUR_OTH,IT	22.7 d	23.3 	23.9 	19.9 	22.8 	26.6 	26.8 	25.5 	23.8 
A,PC,CUR_OTH,LI	: d	: d	: d	: d	: d	: 	: 	: 	: 
A,PC,CUR_OTH,LT	23.0 d	: d	23.9 	22.8 	22.5 	22.8 	22.9 	21.8 	22.4 
A,PC,CUR_OTH,LU	18.5 	15.3 	15.8 	15.6 	17.2 	19.1 	18.8 	19.4 	18.3 
A,PC,CUR_OTH,LV	27.4 	28.7 	29.3 	28.2 	27.9 	23.8 	23.3 	24.2 	21.7 
A,PC,CUR_OTH,MT	19.0 	17.5 	17.6 	18.1 	14.1 	14.1 	14.5 	15.0 	14.6 
A,PC,CUR_OTH,NL	22.0 	20.9 	23.1 	23.4 	23.1 	22.7 	22.4 	22.2 	20.4 
A,PC,CUR_OTH,NO	: d	22.1 	21.6 	21.2 	21.0 	22.3 	21.2 	20.6 	19.6 
A,PC,CUR_OTH,PL	32.0 	: d	25.6 d	25.5 	25.5 	26.3 	24.7 	24.7 	24.3 
A,PC,CUR_OTH,PT	: 	19.9 	12.3 d	12.2 d	14.9 	14.1 	14.0 	14.8 	14.4 
A,PC,CUR_OTH,RO	34.9 	30.5 	25.0 	30.7 	23.9 	23.6 	22.6 	22.4 	21.3 
A,PC,CUR_OTH,RS	: 	: d	: 	: 	: 	21.6 	: 	: 	: 
A,PC,CUR_OTH,SE	31.5 	32.1 	31.7 	31.7 	31.7 	31.5 	31.6 	31.6 	30.8 
A,PC,CUR_OTH,SI	23.7 	23.7 	23.6 	24.0 	23.8 	23.0 	21.9 	22.5 	18.1 
A,PC,CUR_OTH,SK	: 	37.6 	36.9 	37.8 	32.2 	29.3 	30.3 	30.0 	29.5 
A,PC,CUR_OTH,TR	: d	: 	: 	: 	19.6 	19.0 	18.5 	20.7 	19.1 
A,PC,CUR_OTH,UK	22.9 	23.8 	24.1 	24.0 b	21.3 	21.1 	21.1 	20.4 	: 
