freq,unit,sector,expend,isced11,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,PRIV,ADJ,ED35,IS	0.0 	: z	0.0 	: z	: d	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,IT	: 	: 	: 	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED35,LT	: d	: 	0.0 	0.1 	0.0 	0.0 	0.1 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,LU	-0.6 	-2.4 	-7.4 	2.7 	-6.1 	-3.8 	-5.9 	-7.6 	-5.1 
A,MIO_EUR,PRIV,ADJ,ED35,LV	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.2 	0.1 
A,MIO_EUR,PRIV,ADJ,ED35,NL	11.1 	10.2 	11.1 	12.9 	11.2 	11.3 	9.3 	9.5 	6.4 
A,MIO_EUR,PRIV,ADJ,ED35,NO	: d	: d	0.0 	40.4 	41.2 	45.0 	197.4 	177.4 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,PL	: 	: 	101.3 d	126.6 d	138.2 d	131.7 	40.2 	59.5 	93.2 
A,MIO_EUR,PRIV,ADJ,ED35,PT	: d	: 	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35,RO	0.0 	0.0 	0.7 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED35,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,SI	: d	-0.2 	-0.4 	-0.4 	-0.5 	-0.4 	-0.4 	-0.3 	0.9 
A,MIO_EUR,PRIV,ADJ,ED35,SK	: 	0.0 	0.0 	0.0 	: z	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35,TR	73.0 	85.4 	304.4 	200.0 	110.5 	105.3 	34.9 	116.1 	147.5 
A,MIO_EUR,PRIV,ADJ,ED35,UK	30.6 	: z	: z	0.0 b	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,PRIV,ADJ,ED35_45,AT	: z	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: d	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,BE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,CH	: 	0.0 	: 	: z	: 	: 	: 	: 	: d
A,MIO_EUR,PRIV,ADJ,ED35_45,CY	0.0 	0.0 	0.0 	0.0 	: 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,DE	: z	: z	: z	: z	0.0 	0.0 	0.0 	0.0 d	0.0 d
A,MIO_EUR,PRIV,ADJ,ED35_45,DK	: d	: d	: d	: 	4.8 	3.5 	1.8 	5.6 	3.7 
A,MIO_EUR,PRIV,ADJ,ED35_45,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,EL	13.0 	13.0 	14.7 	12.5 	: 	: 	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED35_45,ES	94.6 	20.2 	36.8 	-0.6 	15.3 	15.8 	19.3 	11.1 	-5.4 
A,MIO_EUR,PRIV,ADJ,ED35_45,FI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,FR	8.6 	-14.2 	-10.5 	13.6 	17.2 	17.4 	5.7 	-9.9 	274.5 
A,MIO_EUR,PRIV,ADJ,ED35_45,HR	: z	0.0 	0.0 	: z	-0.5 d	: d	: d	: z	: d
A,MIO_EUR,PRIV,ADJ,ED35_45,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,IE	: 	: dz	0.0 	: z	: d	: 	: 	: 	: z
A,MIO_EUR,PRIV,ADJ,ED35_45,IS	0.0 	: z	0.0 	: z	: d	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,IT	: 	: 	: 	: 	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35_45,LI	: z	: z	: z	: z	: z	: z	: z	: z	: z
A,MIO_EUR,PRIV,ADJ,ED35_45,LT	: d	: 	0.1 	0.2 	-0.1 	0.0 	0.0 	0.0 	-0.2 
A,MIO_EUR,PRIV,ADJ,ED35_45,LU	-0.6 	-2.4 	-7.4 	2.7 	-6.1 	-3.8 	-5.9 	-7.6 	-5.1 
A,MIO_EUR,PRIV,ADJ,ED35_45,LV	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.2 	0.1 
A,MIO_EUR,PRIV,ADJ,ED35_45,NL	11.1 	10.2 	11.1 	12.9 	11.2 	11.3 	9.3 	9.5 	6.4 
A,MIO_EUR,PRIV,ADJ,ED35_45,NO	: d	: d	0.0 	55.4 	54.3 	60.4 	233.8 	219.0 	37.8 
A,MIO_EUR,PRIV,ADJ,ED35_45,PL	: 	: 	154.6 d	183.1 d	174.7 d	157.4 	98.7 d	121.8 	154.9 
A,MIO_EUR,PRIV,ADJ,ED35_45,PT	: d	: 	: d	: d	: d	: d	: d	: d	: d
A,MIO_EUR,PRIV,ADJ,ED35_45,RO	0.0 	0.0 	1.4 	0.1 	0.0 	0.1 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,RS	: 	: 	: 	: 	: 	: z	: 	: 	: 
A,MIO_EUR,PRIV,ADJ,ED35_45,SE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,SI	-0.9 	-0.2 	-0.4 	-0.4 	-0.5 	-0.4 	-0.4 	-0.3 	0.9 
A,MIO_EUR,PRIV,ADJ,ED35_45,SK	: 	0.0 	0.0 	0.0 	: z	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED35_45,TR	73.0 	85.4 	304.4 	200.0 	110.5 	105.3 	34.9 	116.1 	147.5 
A,MIO_EUR,PRIV,ADJ,ED35_45,UK	30.6 	: z	: z	0.0 b	0.0 	0.0 	0.0 	0.0 	: 
A,MIO_EUR,PRIV,ADJ,ED3_4,AT	: z	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	: d	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,BE	0.0 	0.0 	0.0 	0.0 	0.3 	0.4 	0.8 	0.2 	-1.1 
A,MIO_EUR,PRIV,ADJ,ED3_4,BG	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,CH	: 	0.0 	: 	: z	: 	: 	: 	: 	: d
A,MIO_EUR,PRIV,ADJ,ED3_4,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,CZ	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,DE	: z	: z	: z	: z	0.0 	0.0 	0.0 	0.0 d	0.0 d
A,MIO_EUR,PRIV,ADJ,ED3_4,DK	0.0 	0.0 	-4.4 	: 	13.8 	17.3 	13.3 	22.0 	24.3 
A,MIO_EUR,PRIV,ADJ,ED3_4,EE	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,ES	-324.4 	-46.8 	-47.2 	-0.6 	79.7 	81.4 	34.7 	54.8 	3.6 
A,MIO_EUR,PRIV,ADJ,ED3_4,EU27_2020	: 	: 	: 	: 	: 	214.3 d	39.7 d	-112.7 d	248.2 d
A,MIO_EUR,PRIV,ADJ,ED3_4,EU28	: 	: 	: 	: 	: 	214.3 d	39.7 d	-112.7 d	: 
A,MIO_EUR,PRIV,ADJ,ED3_4,FI	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,FR	9.2 	-6.6 	-4.4 	20.1 	23.8 	24.6 	13.2 	-1.7 	282.3 
A,MIO_EUR,PRIV,ADJ,ED3_4,HR	: z	0.0 	0.0 	: z	-0.5 d	2.0 	2.2 	3.1 	0.7 
A,MIO_EUR,PRIV,ADJ,ED3_4,HU	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,IE	: 	: z	0.0 	: z	-196.0 	: 	: 	: 	: z
A,MIO_EUR,PRIV,ADJ,ED3_4,IS	0.0 	: z	0.0 	: z	: d	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,IT	-51.2 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,LT	-0.1 	: 	0.2 	0.1 	-0.1 	0.2 	0.3 	0.2 	0.4 
A,MIO_EUR,PRIV,ADJ,ED3_4,LU	-1.4 	2.0 	-6.9 	3.3 	-5.6 	-1.0 	-5.4 	-5.5 	-2.4 
A,MIO_EUR,PRIV,ADJ,ED3_4,LV	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,MIO_EUR,PRIV,ADJ,ED3_4,MT	0.2 	1.8 	3.6 	-0.4 	0.7 	-0.4 	1.7 	1.8 	2.9 
A,MIO_EUR,PRIV,ADJ,ED3_4,NL	13.7 	12.6 	14.3 	16.7 	14.6 	14.8 	12.3 	12.6 	8.5 
A,MIO_EUR,PRIV,ADJ,ED3_4,NO	0.6 	0.0 	0.0 	97.7 	97.2 	107.6 	344.6 	307.3 	37.8 
A,MIO_EUR,PRIV,ADJ,ED3_4,PL	: 	: 	302.8 d	341.9 d	347.1 d	289.6 	126.7 d	175.1 	243.9 
